Document Title,Authors,Publication Title,Publication Year,Volume,Issue,Start Page,End Page,ISBNs,DOI,Author Keywords,Publisher
hybrid-lenstool: a self-consistent algorithm to model galaxy clusters with strong- and weak-lensing simultaneously,A. Niemiec; M. Jauzac; E. Jullo; M. Limousin; K. Sharon; J. Kneib; P. Natarajan; J. Richard,Monthly Notices of the Royal Astronomical Society,2020,493,1,3331,3340,,10.1093/mnras/staa473,gravitational lensing: strong;gravitational lensing: weak;galaxies: clusters: general,OUP
Analysis of a Magnetostrictive Harvester With a Fully Coupled Nonlinear FEM Modeling,C. S. Clemente; D. Davino; V. P. Loschiavo,IEEE Transactions on Magnetics,2021,57,6,1,4,,10.1109/TMAG.2021.3059927,Energy harvesting (EH);FEM;impulse testing;magnetostrictive devices;nonlinear modeling,IEEE
Realizing Intelligent Spectrum Management for Integrated Satellite and Terrestrial Networks,Y. -C. Liang; J. Tan; H. Jia; J. Zhang; L. Zhao,Journal of Communications and Information Networks,2021,6,1,32,43,,10.23919/JCIN.2021.9387703,cognitive radio (CR);spectrum management;satellite communications;integrated satellite and terrestrial networks (ISTN),PTP
Leveraging Machine Learning Techniques to Identify Deceptive Decoy Documents Associated With Targeted Email Attacks,B. Sun; T. Ban; C. Han; T. Takahashi; K. Yoshioka; J. Takeuchi; A. Sarrafzadeh; M. Qiu; D. Inoue,IEEE Access,2021,9,,87962,87971,,10.1109/ACCESS.2021.3082000,Targeted email attack;decoy document;machine learning;natural language processing,IEEE
Sparsity Turns Adversarial: Energy and Latency Attacks on Deep Neural Networks,S. Krithivasan; S. Sen; A. Raghunathan,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2020,39,11,4129,4141,,10.1109/TCAD.2020.3013077,Adversarial machine learning;deep neural networks;sparsity in DNNs,IEEE
Survey of Security Protocols and Vulnerabilities in Unmanned Aerial Vehicles,A. Shafique; A. Mehmood; M. Elhadef,IEEE Access,2021,9,,46927,46948,,10.1109/ACCESS.2021.3066778,Unmanned aerial vehicles (UAVs);security;vulnerabilities;attacks;drones;security threats,IEEE
Wearable Haptics for Remote Social Walking,T. L. Baldi; G. Paolocci; D. Barcelli; D. Prattichizzo,IEEE Transactions on Haptics,2020,13,4,761,776,,10.1109/TOH.2020.2967049,Cadence alignment;haptics;social walking;telepresence;wearable haptics.,IEEE
On the Algorithmic Solvability of Channel Dependent Classification Problems in Communication Systems,H. Boche; R. F. Schaefer; H. V. Poor,IEEE/ACM Transactions on Networking,2021,29,3,1155,1168,,10.1109/TNET.2021.3059920,Algorithmic computability;decision problem;Turing machine;communication system;adversarial attacks,IEEE
"A Comparative Performance Analysis of GPS L1 C/A, L5 Acquisition and Tracking Stages Under Polar and Equatorial Scintillations",C. Savas; G. Falco; F. Dovis,IEEE Transactions on Aerospace and Electronic Systems,2021,57,1,227,244,,10.1109/TAES.2020.3011999,Acquisition;carrier phase tracking;ionospheric scintillation;kalman filter (KF) based tracking,IEEE
<italic>ReLAccS</italic>: A Multilevel Approach to Accelerator Design for Reinforcement Learning on FPGA-Based Systems,A. R. Baranwal; S. Ullah; S. S. Sahoo; A. Kumar,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021,40,9,1754,1767,,10.1109/TCAD.2020.3028350,Cross-layer system design;embedded systems;field-programmable gate array (FPGA);high-level synthesis;reinforcement learning (RL),IEEE
A Reciprocity Method of Analysis for Gap Waveguide Slot Antennas,M. D. Motevalli; K. Forooraghi; J. R. Mohassel,IEEE Access,2021,9,,98746,98753,,10.1109/ACCESS.2021.3096778,Artificial magnetic conductor;asymptotic boundary condition;gap waveguide slot antenna;ridge gap waveguide;spectral domain approach,IEEE
Spatial-Temporal Hybrid Neural Network With Computing-in-Memory Architecture,K. Bai; L. Liu; Y. Yi,IEEE Transactions on Circuits and Systems I: Regular Papers,2021,68,7,2850,2862,,10.1109/TCSI.2021.3071956,Deep learning;computing-in-memory;spatial-temporal architecture;analog computing;delay-dynamical system;hybrid neural network;on-chip classification,IEEE
Online Learning Aided Adaptive Multiple Attribute-Based Physical Layer Authentication in Dynamic Environments,X. Yin; X. Fang; N. Zhang; P. Yang; X. Sha; J. Qiu,IEEE Transactions on Network Science and Engineering,2021,8,2,1106,1116,,10.1109/TNSE.2020.3013232,Physical layer authentication;security;multiple attributes;online-learning;Internet of Things (IoT),IEEE
Always-On 674μ W@4GOP/s Error Resilient Binary Neural Networks With Aggressive SRAM Voltage Scaling on a 22-nm IoT End-Node,A. D. Mauro; F. Conti; P. D. Schiavone; D. Rossi; L. Benini,IEEE Transactions on Circuits and Systems I: Regular Papers,2020,67,11,3905,3918,,10.1109/TCSI.2020.3012576,SRAM voltage scaling;binary neural networks;ultra-low power;IoT;near-threshold computing,IEEE
Efficient Multiphysics Finite Element Simulation of a Transient Fault in a Bi-2223 HTS Power Cable,A. A. Petrov; I. O. Golosnoy; J. A. Pilgrim,IEEE Transactions on Applied Superconductivity,2021,31,4,1,12,,10.1109/TASC.2021.3074470,Bi-2223;fault response;finite element;high temperature superconducting (HTS) modeling;power cable,IEEE
Carrier-Phase-Based Multi-Vehicle Cooperative Positioning Using V2V Sensors,J. Xiong; J. W. Cheong; Z. Xiong; A. G. Dempster; M. List; F. Wöske; B. Rievers,IEEE Transactions on Vehicular Technology,2020,69,9,9528,9541,,10.1109/TVT.2020.3004832,Multidimensional scaling;GNSS;baseline;carrier phase;VANET;DSRC;V2V,IEEE
Multimodal Multispectral Imaging System for Small UAVs,T. V. Haavardsholm; T. Skauli; A. Stahl,IEEE Robotics and Automation Letters,2020,5,2,1039,1046,,10.1109/LRA.2020.2967301,Computer Vision for Other Robotic Applications;Mapping;Surveillance Systems,IEEE
Design of UHF RFID Sensor-Tags for the Biomechanical Analysis of Human Body Movements,R. Colella; M. R. Tumolo; S. Sabina; C. G. Leo; P. Mincarone; R. Guarino; L. Catarinucci,IEEE Sensors Journal,2021,21,13,14090,14098,,10.1109/JSEN.2021.3069113,Inertial sensors;motion analysis;planar Inverted-F antenna;RFID sensor-tag;UHF technology,IEEE
A Hybrid SDN Switch Based on Standard P4 Code,J. Alvarez-Horcajo; I. Martínez-Yelmo; D. Lopez-Pajares; J. A. Carral; M. Savi,IEEE Communications Letters,2021,25,5,1482,1485,,10.1109/LCOMM.2021.3049570,P4;ARP-path protocol;P4 registers;forwarding tables;autonomous path selection,IEEE
Structured Pruning of RRAM Crossbars for Efficient In-Memory Computing Acceleration of Deep Neural Networks,J. Meng; L. Yang; X. Peng; S. Yu; D. Fan; J. -S. Seo,IEEE Transactions on Circuits and Systems II: Express Briefs,2021,68,5,1576,1580,,10.1109/TCSII.2021.3069011,Convolutional neural networks;hardware accelerator;in-memory computing;structured pruning;resistive RAM,IEEE
Crack-Based Complementary Nanoelectromechanical Switches for Reconfigurable Computing,Q. Luo; Z. Guo; S. Zhang; X. Yang; X. Zou; J. Hong; L. You,IEEE Electron Device Letters,2020,41,5,784,787,,10.1109/LED.2020.2983735,CNEM switches;electric field control;switchable cracks;reconfigurable computing,IEEE
Analysis and Design of Computational News Angles,E. Motta; E. Daga; A. L. Opdahl; B. Tessem,IEEE Access,2020,8,,120613,120626,,10.1109/ACCESS.2020.3005513,Computational journalism;data schema;knowledge representation;news angles;ontology;reasoning components,IEEE
Dynamic Point Cloud Denoising via Manifold-to-Manifold Distance,W. Hu; Q. Hu; Z. Wang; X. Gao,IEEE Transactions on Image Processing,2021,30,,6168,6183,,10.1109/TIP.2021.3092826,Dynamic point cloud denoising;manifold-to-manifold distance;temporal consistency,IEEE
Enabling Internet of Media Things With Edge-Based Virtual Multimedia Sensors,A. L. É. Battisti; D. C. Muchaluat-Saade; F. C. Delicato,IEEE Access,2021,9,,59255,59269,,10.1109/ACCESS.2021.3073240,Edge computing;Internet of Media Things;Internet of Things;virtual multimedia sensors,IEEE
Long-Term Techno-Economic Analysis of Sustainable and Zero Grid Cellular Base Station,M. H. Alsharif; R. Kannadasan; A. Jahid; M. A. Albreem; J. Nebhen; B. J. Choi,IEEE Access,2021,9,,54159,54172,,10.1109/ACCESS.2021.3071250,Green wireless networks;energy-efficiency;eco-friendly;photovoltaic (PV);sustainability,IEEE
DLUX: A LUT-Based Near-Bank Accelerator for Data Center Deep Learning Training Workloads,P. Gu; X. Xie; S. Li; D. Niu; H. Zheng; K. T. Malladi; Y. Xie,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2021,40,8,1586,1599,,10.1109/TCAD.2020.3021336,3-D stacking circuit;deep neural network (DNN);DRAM;near-data processing (NDP),IEEE
Enhancing Lightpath QoT Computation With Machine Learning in Partially Disaggregated Optical Networks,A. D’Amico; S. Straullu; G. Borraccini; E. London; S. Bottacchi; S. Piciaccia; A. Tanzi; A. Nespola; G. Galimberti; S. Swail; V. Curri,IEEE Open Journal of the Communications Society,2021,2,,564,574,,10.1109/OJCOMS.2021.3066913,Machine learning;optical communications;erbium doped fiber amplifier (EDFA);Raman scattering;quality of transmission (QoT),IEEE
Active and Interactive Mapping With Dynamic Gaussian Process Implicit Surfaces for Mobile Manipulators,L. Liu; S. Fryc; L. Wu; T. L. Vu; G. Paul; T. Vidal-Calleja,IEEE Robotics and Automation Letters,2021,6,2,3679,3686,,10.1109/LRA.2021.3061324,Automatic building construction;exploration;gaussian process implicit surfaces;mapping;mobile manipulator,IEEE
New Security Risk Value Estimate Method for Android Applications,L. Er-rajy; M. A. El Kiram; M. El Ghazouani,The Computer Journal,2020,63,1,593,603,,10.1093/comjnl/bxz109,components;risk;permissions;Android;method,OUP
Intra Coding With Geometric Information for Urban Building Scenes,Q. Wang; A. Yan; H. Bao,IEEE Transactions on Circuits and Systems for Video Technology,2021,31,6,2386,2400,,10.1109/TCSVT.2020.3016089,Intra coding;perspective transform;intra block copy;non-local filtering;urban building scenes,IEEE
A Secure Shuffling Mechanism for White-Box Attack-Resistant Unmanned Vehicles,J. Won; S. Seo; E. Bertino,IEEE Transactions on Mobile Computing,2020,19,5,1023,1039,,10.1109/TMC.2019.2903048,White-box cryptography;dynamic white-box block cipher;unmanned vehicle;drone,IEEE
Automatic Detection of Genetic Diseases in Pediatric Age Using Pupillometry,E. Iadanza; F. Goretti; M. Sorelli; P. Melillo; L. Pecchia; F. Simonelli; M. Gherardelli,IEEE Access,2020,8,,34949,34961,,10.1109/ACCESS.2020.2973747,Artificial intelligence;clinical decision support systems;machine learning;pupillometry;python;rare diseases;retinitis pigmentosa;retinopathy;support vector machine,IEEE
Applications of Machine Learning in Networking: A Survey of Current Issues and Future Challenges,M. A. Ridwan; N. A. M. Radzi; F. Abdullah; Y. E. Jalil,IEEE Access,2021,9,,52523,52556,,10.1109/ACCESS.2021.3069210,Machine learning algorithms;communication network;intrusion detection;routing;quality of service,IEEE
A New Lightweight <italic>In Situ</italic> Adversarial Sample Detector for Edge Deep Neural Network,S. Wang; W. Liu; C. -H. Chang,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,2021,11,2,252,266,,10.1109/JETCAS.2021.3076101,Deep neural network;deep learning accelerator;edge AI;adversarial examples;AI security,IEEE
Spectrum Patrolling With Crowdsourced Spectrum Sensors,A. Bhattacharya; A. Chakraborty; S. R. Das; H. Gupta; P. M. Djurić,IEEE Transactions on Cognitive Communications and Networking,2020,6,1,271,281,,10.1109/TCCN.2019.2939793,Cognitive radio;wireless sensor networks;event detection;statistical learning;sensor fusion,IEEE
Sub-Sampled Cross-Component Prediction for Emerging Video Coding Standards,J. Li; M. Wang; L. Zhang; S. Wang; K. Zhang; S. Wang; S. Ma; W. Gao,IEEE Transactions on Image Processing,2021,30,,7305,7316,,10.1109/TIP.2021.3104191,Cross-component linear model;VVC;AVS3;cross-component prediction;video coding,IEEE
Virtual Prototyping a Production Line Using Assume–Guarantee Contracts,S. Spellini; R. Chirico; M. Panato; M. Lora; F. Fummi,IEEE Transactions on Industrial Informatics,2021,17,9,6294,6302,,10.1109/TII.2020.3038679,Advanced manufacturing;design automation;simulation and validation;virtual prototyping,IEEE
Prosumer Nanogrids: A Cybersecurity Assessment,Y. Dafalla; B. Liu; D. A. Hahn; H. Wu; R. Ahmadi; A. G. Bardas,IEEE Access,2020,8,,131150,131164,,10.1109/ACCESS.2020.3009611,Cyber-attacks;cyber-physical systems;cybersecurity;distributed energy resources;CPS gateway;microgrids;nanogrids;prosumers;photovoltaic (PV) systems,IEEE
Timing Predictability in High-Performance Computing With Probabilistic Real-Time,F. Reghenzani; G. Massari; W. Fornaciari,IEEE Access,2020,8,,208566,208582,,10.1109/ACCESS.2020.3038559,Heterogeneous computing;high performance computing;real-time systems;statistical timing analysis,IEEE
Bayesian Spatial Kernel Smoothing for Scalable Dense Semantic Mapping,L. Gan; R. Zhang; J. W. Grizzle; R. M. Eustice; M. Ghaffari,IEEE Robotics and Automation Letters,2020,5,2,790,797,,10.1109/LRA.2020.2965390,Mapping;semantic scene understanding;range sensing;RGB-D perception,IEEE
Multi-Scale Convolutional Neural Network-Based Intra Prediction for Video Coding,Y. Wang; X. Fan; S. Liu; D. Zhao; W. Gao,IEEE Transactions on Circuits and Systems for Video Technology,2020,30,7,1803,1815,,10.1109/TCSVT.2019.2934681,Video coding;intra prediction;HEVC;multi-scale;CNN,IEEE
CAST: Content-Aware STT-MRAM Cache Write Management for Different Levels of Approximation,A. M. Hosseini Monazzah; A. M. Rahmani; A. Miele; N. Dutt,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,2020,39,12,4385,4398,,10.1109/TCAD.2020.2986320,Approximate computing;energy consumption;mixed-criticality;spin transfer torque magnetic RAM (STT-MRAM),IEEE
A Test for Unconditional Stability Based on Polynomial Convexification,S. Colangeli; W. Ciccognani; P. E. Longhi; E. Limiti,IEEE Transactions on Microwave Theory and Techniques,2020,68,10,4177,4187,,10.1109/TMTT.2020.3011436,N-port network;small-signal stability;unconditional stability,IEEE
Through-Wall Human Sensing With WiFi Passive Radar,H. Sun; L. G. Chia; S. G. Razul,IEEE Transactions on Aerospace and Electronic Systems,2021,57,4,2135,2148,,10.1109/TAES.2021.3069767,,IEEE
Open-Loop Self-Calibration of Position Sensor Offset in SM-PMSM Drive Systems,S. S. Kuruppu,IEEE Transactions on Instrumentation and Measurement,2021,70,,1,7,,10.1109/TIM.2021.3065749,Brushless machines;calibration;motor drives;permanent magnet synchronous machines (PMSMs);position measurement,IEEE
An IoT-Based Anti-Counterfeiting System Using Visual Features on QR Code,Y. Yan; Z. Zou; H. Xie; Y. Gao; L. Zheng,IEEE Internet of Things Journal,2021,8,8,6789,6799,,10.1109/JIOT.2020.3035697,Anti-counterfeiting;feature extraction;Internet of Things (IoT);quick response (QR) code;visual feature,IEEE
NFV and Blockchain Enabled 5G for Ultra-Reliable and Low-Latency Communications in Industry: Architecture and Performance Evaluation,H. Huang; W. Miao; G. Min; J. Tian; A. Alamri,IEEE Transactions on Industrial Informatics,2021,17,8,5595,5604,,10.1109/TII.2020.3036867,5G;analytical modeling;industry;network functions virtualization (NFV);ultra-reliable and low-latency communications (URLLC),IEEE
A Framework to Counter Statistical Ineffective Fault Analysis of Block Ciphers Using Domain Transformation and Error Correction,S. Saha; D. Jap; D. Basu Roy; A. Chakraborty; S. Bhasin; D. Mukhopadhyay,IEEE Transactions on Information Forensics and Security,2020,15,,1905,1919,,10.1109/TIFS.2019.2952262,Fault attack;block cipher;masking,IEEE
EMG-Based Gestures Classification Using a Mixed-Signal Neuromorphic Processing System,Y. Ma; B. Chen; P. Ren; N. Zheng; G. Indiveri; E. Donati,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,2020,10,4,578,587,,10.1109/JETCAS.2020.3037951,Neuromorphic engineering;biomedical signal processing;spike encoding;spiking recurrent neural network;spike-based learning;Winner-Take-All,IEEE
Semiautomatic Labeling for Deep Learning in Robotics,D. De Gregorio; A. Tonioni; G. Palli; L. Di Stefano,IEEE Transactions on Automation Science and Engineering,2020,17,2,611,620,,10.1109/TASE.2019.2938316,Artificial intelligence;computer vision;object detection,IEEE
A Cost-Effective Approach for End-to-End QoS Management in NFV-Enabled IoT Platforms,C. A. Ouedraogo; S. Medjiah; C. Chassot; K. Drira; J. Aguilar,IEEE Internet of Things Journal,2021,8,5,3885,3903,,10.1109/JIOT.2020.3025500,Genetic algorithm (GA);IoT;IoT platform;multiobjective optimization;network function virtualization (NFV);Quality of Service (QoS),IEEE
